id,title,short_description,event_type,location_name,address,city,city_aliases,country,latitude,longitude,venue_type,indoor_outdoor,season,age_min,age_max,duration_minutes,price_dt,budget_band,requires_authorization,tags,educational_value,recommended_label
16,Jeux de construction coopératifs,Construction de tours et ponts avec consignes de coopération.,ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,3,6,45,0,LOW,False,construction;logique;cooperation,HIGH,HIGHLY_RECOMMENDED
17,Atelier sécurité routière,"Apprendre feu rouge, passage piéton et règles simples avec tapis de route.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,4,6,45,0,LOW,False,securite;routiere;citoyennete,VERY_HIGH,HIGHLY_RECOMMENDED
18,Atelier collage recyclé,"Création avec carton, papier et boutons récupérés.",ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,3,6,45,5,LOW,False,recyclage;collage;creativite,HIGH,HIGHLY_RECOMMENDED
19,Initiation robotique débranchée,Algorithmes simples avec flèches et parcours au sol.,ATELIER,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,5,6,50,15,LOW,False,logique;robotique;algorithme,VERY_HIGH,HIGHLY_RECOMMENDED
20,Relaxation après-midi,"Histoires calmes, respiration et musique douce.",ACTIVITE,Garderie TinySpring Ariana,"20 rue Ahmed Tlili, Rue Ahmed Tlili, Ariana, Tunisie",Ariana,ariana;tunis nord;ennasr;el menzah;menzah 5;menzah 6;raoued;soukra,Tunisie,36.8625,10.1956,DAYCARE,INDOOR,ALL,2,6,25,0,LOW,False,relaxation;calme;bien_etre,HIGH,HIGHLY_RECOMMENDED
21,Visite découverte - Parc Ennahli,"Observation guidée du lieu, vocabulaire nouveau et mini-jeu de repérage adapté aux enfants.",SORTIE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,4,6,120,18,MEDIUM,True,decouverte;observation;sortie;ariana,HIGH,RECOMMENDED
22,Atelier nature à Parc Ennahli,"Activité d’observation, collecte symbolique et dessin autour de la nature du site.",ATELIER,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,PRINTEMPS,3,6,90,12,LOW,True,nature;observation;dessin;ariana,VERY_HIGH,HIGHLY_RECOMMENDED
23,Parcours motricité en plein air - Parc Ennahli,"Jeux moteurs, équilibre et coordination dans un espace sécurisé en extérieur.",ACTIVITE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,3,6,75,10,LOW,True,motricite;plein_air;coordination;ariana,HIGH,RECOMMENDED
24,Conte itinérant à Parc Ennahli,Lecture courte suivie d’un parcours de questions et d’images.,ACTIVITE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,2,5,60,8,LOW,True,lecture;conte;langage;ariana,HIGH,HIGHLY_RECOMMENDED
25,Chasse aux formes et couleurs - Parc Ennahli,"Les enfants cherchent formes, couleurs et textures autour du lieu.",ACTIVITE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,3,6,70,9,LOW,True,formes;couleurs;sensoriel;ariana,HIGH,RECOMMENDED
26,Sortie culturelle à Parc Ennahli,Découverte culturelle avec discussion simple et production créative au retour.,SORTIE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,4,6,140,22,MEDIUM,True,culture;patrimoine;sortie;ariana,HIGH,RECOMMENDED
27,Mini reportage enfants - Parc Ennahli,"Les enfants observent, posent des questions et préparent un dessin souvenir.",ATELIER,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,5,6,110,15,LOW,True,reportage;expression;observation;ariana,VERY_HIGH,HIGHLY_RECOMMENDED
28,Fête thématique à Parc Ennahli,Animation festive avec jeux musicaux et souvenirs autour d’un thème saisonnier.,FETE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ETE,3,6,150,35,MEDIUM,True,fete;musique;animation;ariana,MEDIUM,RECOMMENDED
29,Sortie sensorielle à Parc Ennahli,"Jeux de textures, sons et couleurs pour stimuler les sens.",SORTIE,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,2,6,100,16,MEDIUM,True,sensoriel;decouverte;sortie;ariana,HIGH,RECOMMENDED
30,Atelier écologie à Parc Ennahli,"Sensibilisation au respect du lieu, tri simple et geste citoyen.",ATELIER,Parc Ennahli,"Parc Ennahli, Ariana, Tunisie",Ariana,parc ennahli;ennahli;ariana;nord tunis,Tunisie,36.9009,10.165,PARK,OUTDOOR,ALL,4,6,80,7,LOW,True,ecologie;citoyennete;tri;ariana,VERY_HIGH,HIGHLY_RECOMMENDED
31,Visite découverte - Maison de la Culture Ariana,"Observation guidée du lieu, vocabulaire nouveau et mini-jeu de repérage adapté aux enfants.",SORTIE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,4,6,120,18,MEDIUM,True,decouverte;observation;sortie;ariana,HIGH,RECOMMENDED
32,Atelier nature à Maison de la Culture Ariana,"Activité d’observation, collecte symbolique et dessin autour de la nature du site.",ATELIER,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,PRINTEMPS,3,6,90,12,LOW,True,nature;observation;dessin;ariana,VERY_HIGH,HIGHLY_RECOMMENDED
33,Parcours motricité en plein air - Maison de la Culture Ariana,"Jeux moteurs, équilibre et coordination dans un espace sécurisé en extérieur.",ACTIVITE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,3,6,75,10,LOW,True,motricite;plein_air;coordination;ariana,HIGH,RECOMMENDED
34,Conte itinérant à Maison de la Culture Ariana,Lecture courte suivie d’un parcours de questions et d’images.,ACTIVITE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,2,5,60,8,LOW,True,lecture;conte;langage;ariana,HIGH,HIGHLY_RECOMMENDED
35,Chasse aux formes et couleurs - Maison de la Culture Ariana,"Les enfants cherchent formes, couleurs et textures autour du lieu.",ACTIVITE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,3,6,70,9,LOW,True,formes;couleurs;sensoriel;ariana,HIGH,RECOMMENDED
36,Sortie culturelle à Maison de la Culture Ariana,Découverte culturelle avec discussion simple et production créative au retour.,SORTIE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,4,6,140,22,MEDIUM,True,culture;patrimoine;sortie;ariana,HIGH,RECOMMENDED
37,Mini reportage enfants - Maison de la Culture Ariana,"Les enfants observent, posent des questions et préparent un dessin souvenir.",ATELIER,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,5,6,110,15,LOW,True,reportage;expression;observation;ariana,VERY_HIGH,HIGHLY_RECOMMENDED
38,Fête thématique à Maison de la Culture Ariana,Animation festive avec jeux musicaux et souvenirs autour d’un thème saisonnier.,FETE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ETE,3,6,150,35,MEDIUM,True,fete;musique;animation;ariana,MEDIUM,RECOMMENDED
39,Sortie sensorielle à Maison de la Culture Ariana,"Jeux de textures, sons et couleurs pour stimuler les sens.",SORTIE,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,2,6,100,16,MEDIUM,True,sensoriel;decouverte;sortie;ariana,HIGH,RECOMMENDED
40,Atelier écologie à Maison de la Culture Ariana,"Sensibilisation au respect du lieu, tri simple et geste citoyen.",ATELIER,Maison de la Culture Ariana,"Avenue Habib Bourguiba, Ariana, Tunisie",Ariana,ariana;centre ariana;culture,Tunisie,36.862,10.195,CULTURAL_CENTER,INDOOR,ALL,4,6,80,7,LOW,True,ecologie;citoyennete;tri;ariana,VERY_HIGH,HIGHLY_RECOMMENDED
41,Visite découverte - Cité des Sciences à Tunis,"Observation guidée du lieu, vocabulaire nouveau et mini-jeu de repérage adapté aux enfants.",SORTIE,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,4,6,120,18,MEDIUM,True,decouverte;observation;sortie;tunis,HIGH,RECOMMENDED
42,Atelier nature à Cité des Sciences à Tunis,"Activité d’observation, collecte symbolique et dessin autour de la nature du site.",ATELIER,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,PRINTEMPS,3,6,90,12,LOW,True,nature;observation;dessin;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
43,Conte itinérant à Cité des Sciences à Tunis,Lecture courte suivie d’un parcours de questions et d’images.,ACTIVITE,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,2,5,60,8,LOW,True,lecture;conte;langage;tunis,HIGH,HIGHLY_RECOMMENDED
44,Chasse aux formes et couleurs - Cité des Sciences à Tunis,"Les enfants cherchent formes, couleurs et textures autour du lieu.",ACTIVITE,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,3,6,70,9,LOW,True,formes;couleurs;sensoriel;tunis,HIGH,RECOMMENDED
45,Sortie culturelle à Cité des Sciences à Tunis,Découverte culturelle avec discussion simple et production créative au retour.,SORTIE,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,4,6,140,22,MEDIUM,True,culture;patrimoine;sortie;tunis,HIGH,RECOMMENDED
46,Mini reportage enfants - Cité des Sciences à Tunis,"Les enfants observent, posent des questions et préparent un dessin souvenir.",ATELIER,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,5,6,110,15,LOW,True,reportage;expression;observation;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
47,Fête thématique à Cité des Sciences à Tunis,Animation festive avec jeux musicaux et souvenirs autour d’un thème saisonnier.,FETE,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ETE,3,6,150,35,MEDIUM,True,fete;musique;animation;tunis,MEDIUM,RECOMMENDED
48,Sortie sensorielle à Cité des Sciences à Tunis,"Jeux de textures, sons et couleurs pour stimuler les sens.",SORTIE,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,2,6,100,16,MEDIUM,True,sensoriel;decouverte;sortie;tunis,HIGH,RECOMMENDED
49,Atelier écologie à Cité des Sciences à Tunis,"Sensibilisation au respect du lieu, tri simple et geste citoyen.",ATELIER,Cité des Sciences à Tunis,"Avenue Mohamed Bouazizi, Tunis, Tunisie",Tunis,tunis;el menzah;cite sciences,Tunisie,36.847,10.1975,MUSEUM,INDOOR,ALL,4,6,80,7,LOW,True,ecologie;citoyennete;tri;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
50,Visite découverte - Parc du Belvédère,"Observation guidée du lieu, vocabulaire nouveau et mini-jeu de repérage adapté aux enfants.",SORTIE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,4,6,120,18,MEDIUM,True,decouverte;observation;sortie;tunis,HIGH,RECOMMENDED
51,Atelier nature à Parc du Belvédère,"Activité d’observation, collecte symbolique et dessin autour de la nature du site.",ATELIER,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,PRINTEMPS,3,6,90,12,LOW,True,nature;observation;dessin;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
52,Parcours motricité en plein air - Parc du Belvédère,"Jeux moteurs, équilibre et coordination dans un espace sécurisé en extérieur.",ACTIVITE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,3,6,75,10,LOW,True,motricite;plein_air;coordination;tunis,HIGH,RECOMMENDED
53,Conte itinérant à Parc du Belvédère,Lecture courte suivie d’un parcours de questions et d’images.,ACTIVITE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,2,5,60,8,LOW,True,lecture;conte;langage;tunis,HIGH,HIGHLY_RECOMMENDED
54,Chasse aux formes et couleurs - Parc du Belvédère,"Les enfants cherchent formes, couleurs et textures autour du lieu.",ACTIVITE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,3,6,70,9,LOW,True,formes;couleurs;sensoriel;tunis,HIGH,RECOMMENDED
55,Sortie culturelle à Parc du Belvédère,Découverte culturelle avec discussion simple et production créative au retour.,SORTIE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,4,6,140,22,MEDIUM,True,culture;patrimoine;sortie;tunis,HIGH,RECOMMENDED
56,Mini reportage enfants - Parc du Belvédère,"Les enfants observent, posent des questions et préparent un dessin souvenir.",ATELIER,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,5,6,110,15,LOW,True,reportage;expression;observation;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
57,Fête thématique à Parc du Belvédère,Animation festive avec jeux musicaux et souvenirs autour d’un thème saisonnier.,FETE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ETE,3,6,150,35,MEDIUM,True,fete;musique;animation;tunis,MEDIUM,RECOMMENDED
58,Sortie sensorielle à Parc du Belvédère,"Jeux de textures, sons et couleurs pour stimuler les sens.",SORTIE,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,2,6,100,16,MEDIUM,True,sensoriel;decouverte;sortie;tunis,HIGH,RECOMMENDED
59,Atelier écologie à Parc du Belvédère,"Sensibilisation au respect du lieu, tri simple et geste citoyen.",ATELIER,Parc du Belvédère,"Avenue Taieb Mhiri, Tunis, Tunisie",Tunis,tunis;belvedere;mutuelleville,Tunisie,36.819,10.175,PARK,OUTDOOR,ALL,4,6,80,7,LOW,True,ecologie;citoyennete;tri;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
60,Visite découverte - Musée national du Bardo,"Observation guidée du lieu, vocabulaire nouveau et mini-jeu de repérage adapté aux enfants.",SORTIE,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ALL,4,6,120,18,MEDIUM,True,decouverte;observation;sortie;tunis,HIGH,RECOMMENDED
61,Atelier nature à Musée national du Bardo,"Activité d’observation, collecte symbolique et dessin autour de la nature du site.",ATELIER,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,PRINTEMPS,3,6,90,12,LOW,True,nature;observation;dessin;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
62,Conte itinérant à Musée national du Bardo,Lecture courte suivie d’un parcours de questions et d’images.,ACTIVITE,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ALL,2,5,60,8,LOW,True,lecture;conte;langage;tunis,HIGH,HIGHLY_RECOMMENDED
63,Chasse aux formes et couleurs - Musée national du Bardo,"Les enfants cherchent formes, couleurs et textures autour du lieu.",ACTIVITE,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ALL,3,6,70,9,LOW,True,formes;couleurs;sensoriel;tunis,HIGH,RECOMMENDED
64,Sortie culturelle à Musée national du Bardo,Découverte culturelle avec discussion simple et production créative au retour.,SORTIE,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ALL,4,6,140,22,MEDIUM,True,culture;patrimoine;sortie;tunis,HIGH,RECOMMENDED
65,Mini reportage enfants - Musée national du Bardo,"Les enfants observent, posent des questions et préparent un dessin souvenir.",ATELIER,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ALL,5,6,110,15,LOW,True,reportage;expression;observation;tunis,VERY_HIGH,HIGHLY_RECOMMENDED
66,Fête thématique à Musée national du Bardo,Animation festive avec jeux musicaux et souvenirs autour d’un thème saisonnier.,FETE,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ETE,3,6,150,35,MEDIUM,True,fete;musique;animation;tunis,MEDIUM,RECOMMENDED
67,Sortie sensorielle à Musée national du Bardo,"Jeux de textures, sons et couleurs pour stimuler les sens.",SORTIE,Musée national du Bardo,"Le Bardo, Tunis, Tunisie",Tunis,tunis;bardo;musee,Tunisie,36.8091,10.134,MUSEUM,INDOOR,ALL,2,6,100,16,MEDIUM,True,sensoriel;decouverte;sortie;tunis,HIGH,RECOMMENDED
